name,category,description,address,city,phone,website,eligibility,notes,hours,county,served_counties,coverage,state
KCTCS — Adult Education & GED (Statewide),education,"Kentucky Community and Technical College System (KCTCS) administers free adult education and GED preparation statewide through 13 college-based Kentucky Adult Education (KYAE) providers in all 120 counties. Classes offered in communities, jails, and prisons. Kentucky pays for first GED test in each subject (plus limited retakes) for eligible test-takers who pass the free GED Ready practice test—use promo code KYFREEGED1. Over 4,460 GEDs awarded to incarcerated Kentuckians 2020–2024.",,,,https://kyae.ky.gov/Students/Pages/earn-ged-diploma.aspx,Kentucky residents age 18 or older. All adult education and GED services are free through KYAE.,Contact your local KCTCS college to find the nearest program,Local center hours vary by KCTCS college—contact nearest provider,,,statewide,Kentucky
National Call Center for Homeless Veterans,veterans,"National Call Center for Homeless Veterans (877-4AID-VET) is a free, confidential 24/7 hotline connecting veterans— including those leaving incarceration without housing—to the nearest VA homeless program, emergency shelter, and case management. Critical first contact for veterans with no place to stay after release. Trained counselors assess needs and link to HUD-VASH, SSVF, and other VA housing resources. The program supports Kentuckians navigating reentry in throughout Kentucky.",,,1-877-424-3838,https://www.va.gov/homeless/for-homeless-veterans/,U.S. military veterans and eligible family members. Some programs serve veterans with justice involvement.,Also chat at va.gov/homeless/nationalcallcenter.asp. Have DD-214 and SSN ready if available. Works with local VA Medical Center homeless teams.,"24 hours a day, 7 days a week",,,statewide,Kentucky
KVC Kentucky — Family Reunification Services,family-services,"KVC Kentucky is a nonprofit child welfare and behavioral health organization headquartered in Lexington, serving more than 22,000 children and families annually across eight Kentucky regions. Family First Preservation and Reunification Services help families stay together or reunify after out-of-home placement through in-home, evidence-based support coordinated with DCBS. Also provides behavioral health, substance abuse treatment, and foster care services. All preservation/reunification referrals come through the Department for Community Based Services (DCBS)—contact your DCBS worker to initiate. The program supports Kentuckians navigating reentry in throughout Kentucky.",2250 Thunderstick Drive,Lexington,(859) 254-1035,https://kentucky.kvc.org/,"Varies by program—open to parents, caregivers, and families affected by incarceration.","For current intake, call (859) 254-1035; visit https://kentucky.kvc.org/. Monday–Friday during business hours; behavioral health intake by appointment.",Monday–Friday during business hours; behavioral health intake by appointment,Fayette,,statewide,Kentucky
Veterans Crisis Line,veterans,"Veterans Crisis Line provides free, confidential crisis support for veterans and their families 24/7. Call or text 988 then press 1, or chat at veteranscrisisline.net. Trained responders—many veterans themselves—provide immediate support for suicidal crisis, PTSD episodes, and reentry stress. Also supports active duty, Guard, Reserve, and family members.",,,988 (press 1),https://www.veteranscrisisline.net/,U.S. military veterans and eligible family members. Some programs serve veterans with justice involvement.,"Text 838255 to connect. If immediate danger, call 911. Spanish-language support available.","24 hours a day, 7 days a week",,,statewide,Kentucky
Gateway Community & Technical College — Adult Education,education,"Gateway Community & Technical College Adult Education offers free GED preparation in Northern Kentucky for Boone, Kenton, Campbell, Grant, Owen, and surrounding counties. Kentucky waives GED testing fees for first-time test takers working through a KYAE center. Classes at Florence campus and community sites. Gateway also recognizes GED College Ready scores for college enrollment.",500 Technology Way,Florence,(859) 442-1695,https://gateway.kctcs.edu/admissions/information-for/hse-ged.aspx,Kentucky residents age 18 or older. All adult education and GED services are free through KYAE.,GED fee waiver available when working with local Gateway/KYAE office.,Monday–Friday during business hours,Boone,Boone|Bracken|Campbell|Carroll|Grant|Kenton|Mason|Owen|Pendleton|Robertson,multi,Kentucky
Kentucky Adult Education — Find a Program,education,"Kentucky Adult Education (KYAE) is the state office connecting residents to free adult education in all 120 counties—GED preparation, literacy, ESL, workforce certifications, and family literacy. Use the online locator to find your county's KCTCS-based adult education center. All GED seekers must pass the GED Ready practice test (free at KYAE centers) before qualifying for state-funded GED testing.",,,,https://kyae.ky.gov/Students/Pages/find-a-kyae-center.aspx,Kentucky residents age 18 or older. All adult education and GED services are free through KYAE.,Promo codes: KYFREEGED1 (test center) or OPKYFREEGED (online proctored).,Varies by county center—use locator for local contact,,,statewide,Kentucky
Ashland Community & Technical College — Adult Education,education,Ashland Community & Technical College (ACTC) Adult Education provides free GED preparation and adult literacy for Boyd County and surrounding Northeast Kentucky counties. Part of the KCTCS/KYAE statewide network with classes in community and county jail settings. Kentucky waives first-time GED test fees for eligible students passing GED Ready at a KYAE center. The program supports Kentuckians navigating reentry in 10 Kentucky counties.,,Ashland,(606) 326-2000,https://ashland.kctcs.edu/education-training/adult-education/index.aspx,Kentucky waives first-time GED test fees for eligible students passing GED Ready at a KYAE center.,Call (606) 326-2000 for enrollment. Promo code KYFREEGED1 for state-funded testing. Also offers ESL and workforce certifications.,Monday–Friday during business hours; class schedules vary,Boyd,Boyd|Carter|Elliott|Floyd|Greenup|Johnson|Lawrence|Magoffin|Martin|Pike,multi,Kentucky
Big Sandy Community & Technical College — Adult Education,education,"Big Sandy Community & Technical College — Adult Education serves justice-involved adults and families rebuilding stability after incarceration in 7 Kentucky counties. Big Sandy Community & Technical College (BSCTC) Adult Education offers free GED classes for Floyd, Johnson, Lawrence, Magoffin, Martin, and Pike counties. Part of KCTCS/KYAE with instruction inside Big Sandy Regional Detention Center and Pike County Detention Center—critical for Eastern Kentucky reentry education. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",One Bert T. Combs Drive,Prestonsburg,(606) 886-3863,https://bigsandy.kctcs.edu/education-training/adult-education/index.aspx,Kentucky residents age 18 or older. All adult education and GED services are free through KYAE.,Prestonsburg campus: One Bert T. Combs Drive. Call (606) 886-3863 for enrollment.,Monday–Friday during business hours,Floyd,Floyd|Johnson|Knott|Letcher|Magoffin|Martin|Pike,multi,Kentucky
Somerset Community College — Adult Education,education,"Somerset Community College — Adult Education serves justice-involved adults and families rebuilding stability after incarceration in 10 Kentucky counties. Somerset Community College (SCC) Adult Education provides free GED preparation and adult education for Pulaski County and the Lake Cumberland region. KCTCS/KYAE network member serving adults in community settings and county jails. State-funded first-time GED testing for eligible students. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",,Somerset,(606) 679-8501,https://somerset.kctcs.edu/workforce-solutions/adult-education/index.aspx,State-funded first-time GED testing for eligible students.,"For current intake, call (606) 679-8501; visit https://somerset.kctcs.edu/workforce-solutions/adult-education/index.aspx. Monday–Friday during business hours.",Monday–Friday during business hours,Pulaski,Adair|Casey|Clinton|Cumberland|Green|McCreary|Pulaski|Russell|Taylor|Wayne,multi,Kentucky
Owensboro Community & Technical College — Adult Education,education,"Owensboro Community & Technical College — Adult Education serves justice-involved adults and families rebuilding stability after incarceration in 7 Kentucky counties. Owensboro Community & Technical College (OCTC) Adult Education offers free GED preparation and adult literacy for Daviess County and surrounding Green River counties. KCTCS/KYAE provider with classes at community locations and Daviess County Detention Center. First-time GED test fees waived for KYAE-eligible students. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",,Owensboro,(270) 686-4400,https://owensboro.kctcs.edu/education-training/adult-education/index.aspx,First-time GED test fees waived for KYAE-eligible students.,Call (270) 686-4400 for enrollment. GED Ready free at KYAE center. Also offers ESL and workplace certifications.,Monday–Friday during business hours,Daviess,Daviess|Hancock|Henderson|McLean|Ohio|Union|Webster,multi,Kentucky
Madisonville Community College — Adult Education,education,"Madisonville Community College (MCC) Adult Education (ACE²) provides free GED preparation, adult literacy, ESL, and workforce skills for Hopkins and Muhlenberg counties through Kentucky Adult Education (KYAE). Classes meet at the North Campus John H. Gray Building with instruction also available in county jails including Hopkins County and Muhlenberg County detention centers. First-time GED testing fees waived for eligible KYAE students.","2000 College Drive, John H. Gray Building, Rooms 210-213",Madisonville,(270) 824-1770,https://madisonville.kctcs.edu/education-training/adult-education/index.aspx,First-time GED testing fees waived for eligible KYAE students.,"Enter via Glema Mahr Center concourse, third floor, then stairs/elevator to second floor near Assessment Center. Also serves Muhlenberg County. Promo code KYFREEGED1 for state-funded testing.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Hopkins,Caldwell|Christian|Crittenden|Hopkins|Lyon|Muhlenberg|Todd|Trigg,multi,Kentucky
Hazard Community & Technical College — Adult Education,education,"Hazard Community and Technical College (HCTC) Adult Education provides free GED preparation and adult education for Perry, Breathitt, Knott, Leslie, Letcher, Lee, Owsley, and Harlan counties. KYAE provider with in-person and virtual classes at the Devert Owens Technical Center and GED instruction inside Perry County Detention Center and regional county jails. First-time GED test fees waived for eligible students.","101 Vo-Tech Drive, Devert Owens Technical Center, Room 112",Hazard,(606) 487-0665,https://hazard.kctcs.edu/workforce-solutions/adult-education/index.aspx,First-time GED test fees waived for eligible students.,Virtual classes Tuesday and Friday. Email hctc-adulted@kctcs.edu. Serves eight coalfield counties—call for nearest satellite location.,"Monday–Friday, 8:00 a.m.–4:30 p.m.; in-person classes Mon–Fri",Perry,Breathitt|Harlan|Knott|Lee|Leslie|Letcher|Owsley|Perry|Wolfe,multi,Kentucky
Elizabethtown Community & Technical College — Adult Education,education,"Elizabethtown Community and Technical College (ECTC) hosts the Heartland Adult Education Consortium lead center, providing free GED preparation, ESL, citizenship, and college-readiness for Hardin, LaRue, Breckinridge, Grayson, and Hart counties. KYAE provider with in-person and virtual instruction plus corrections education at Hardin County Detention Center. All enrollment, tutoring, and graduation services are free.","600 College Street Road, OTB 300, Room 310",Elizabethtown,(270) 769-8866,https://heartlandged.com/,Kentucky residents age 18 or older. All adult education and GED services are free through KYAE.,"Heartland consortium also has centers in Hardinsburg, Leitchfield, and Munfordville. GED testing at ECTC Assessment Center RPC Room 129. Radcliff satellite for northern Hardin County.",Monday–Friday during business hours; virtual and evening options available,Hardin,Breckinridge|Grayson|Hardin|Larue|Marion|Meade|Nelson|Washington,multi,Kentucky
Maysville Community & Technical College — Adult Education,education,"Maysville Community and Technical College (MCTC) Adult Education provides free GED preparation, literacy, ESL, and college-readiness for Mason, Bath, Bracken, Fleming, Nicholas, Robertson, Harrison, and Lewis counties. KYAE provider with flexible in-person and online scheduling at the Maysville campus and instruction in county jail settings. Kentucky covers GED testing costs for eligible students. The program supports Kentuckians navigating reentry in 10 Kentucky counties.","1755 US Highway 68, Administration Building, Room A307",Maysville,(606) 301-6163,https://maysville.kctcs.edu/education-training/adult-education/index.aspx,Kentucky residents age 18 or older. All adult education and GED services are free through KYAE.,Alternate line (606) 301-6049. Evening and weekend classes at multiple sites. Family literacy programming available.,"Monday–Friday, 8:00 a.m.–4:30 p.m.",Mason,Bath|Bracken|Fleming|Lewis|Mason|Menifee|Montgomery|Morgan|Robertson|Rowan,multi,Kentucky
Hopkinsville Community College — Adult Education,education,"Hopkinsville Community College (HCC) Adult Education provides free GED preparation, adult literacy, and college-transition support for Christian and Todd counties through KYAE. Main center at the Technology Building with satellite classes in Oak Grove and Elkton. Offers corrections education inside Christian County Detention Center plus GED Plus pathways pairing GED with certificate programs.","720 North Drive, Technology Building, Room 205",Hopkinsville,(270) 707-3925,https://hopkinsville.kctcs.edu/education-training/academic-foundations/index.aspx,Kentucky residents age 18 or older. All adult education and GED services are free through KYAE.,Email hp-adulted@kctcs.edu. Oak Grove: 1705 Thompsonville Lane (Mon/Wed mornings). Todd County Library Elkton Tue/Thu mornings. Accelerated GED week-long courses available—pre-register required.,"Monday–Friday, 8:00 a.m.–4:30 p.m.; Monday evenings 5:00–7:00 p.m.",Christian,Caldwell|Christian|Crittenden|Hopkins|Livingston|Lyon|Muhlenberg|Todd|Trigg,multi,Kentucky
kynect — KTAP & Financial Assistance,financial-assistance,"kynect is Kentucky's online benefits portal for applying for KTAP (Kentucky Transitional Assistance Program) cash assistance, SNAP food benefits, Medicaid, Child Care Assistance Program (CCAP), and other programs. KTAP provides monthly cash aid to low-income families with dependent children, with a 60-month lifetime limit, plus work support through Kentucky Works. Apply online at kynect.ky.gov, by phone at 855-306-8959, or in person at any DCBS office in all 120 counties. Use the prescreening tool before applying to check potential eligibility.",,,1-855-306-8959,https://kynect.ky.gov/benefits/s/apply-for-benefits,Low-income individuals and families; income guidelines apply for most programs. Criminal history is generally not a barrier.,DCBS Call Services: 855-306-8959 (Mon–Fri 8 a.m.–5 p.m. ET).,"Phone line Monday–Friday, 8:00 a.m.–5:00 p.m. ET; online applications 24/7",,,statewide,Kentucky
211 Kentucky — Crisis Resource Navigation,financial-assistance,"Kentucky 211 connects residents to local emergency financial assistance, food, housing, utilities, mental health services, and other community resources. Dial 2-1-1 from any phone or text your zip code to 898211 to reach a trained specialist 24 hours a day, 7 days a week. Service provided through United Way of Kentucky's network covering all 120 counties. Free, confidential, and available in multiple languages with interpreter support. Also searchable online at kentucky211.org.",,,211,https://kentucky211.org/,Low-income individuals and families; income guidelines apply for most programs. Criminal history is generally not a barrier.,Text zip code to 898211 (no hyphen). 211 does not provide direct cash assistance—specialists refer to local programs. Pairs with kynect.ky.gov for benefits applications.,"24 hours a day, 7 days a week",,,statewide,Kentucky
NKCAC — Warsaw Office (Gallatin & Surrounding Counties),financial-assistance,"Northern Kentucky Community Action Commission (NKCAC) Gallatin County Neighborhood Center in Warsaw provides LIHEAP utility assistance, weatherization, emergency aid, food security programs, and kynect benefits enrollment for Gallatin, Carroll, Grant, and Owen counties. Serves low-income individuals regardless of criminal history; reentry clients encouraged to apply for needs-based assistance.",100 Davis Drive,Warsaw,(859) 567-4660,https://nkcac.org/,Serves low-income individuals regardless of criminal history,"Neighborhood Center hours Mon–Fri 12:00–4:00 p.m. some services Mon–Thu 7:30 a.m.–5:00 p.m. per city listing. Virtual appointments available 11 a.m.–12 p.m. Mon–Fri. NKCAC headquarters: 717 Madison Ave, Covington.","Monday–Friday, 12:00 p.m.–4:00 p.m. (Neighborhood Center)",Gallatin,Carroll|Gallatin|Grant|Henry|Owen|Trimble,multi,Kentucky
Bluegrass Community Action Partnership — Boyle County,financial-assistance,"Bluegrass Community Action Partnership (BGCAP) Boyle County office in Danville provides LIHEAP utility assistance, weatherization, emergency financial aid, kynect benefits enrollment, and family support for low-income residents of Boyle and Garrard counties. Serves individuals regardless of criminal history; official kynector for Medicaid, SNAP, and health plan applications. The program supports Kentuckians navigating reentry in Boyle, and Garrard counties.",225 West Walnut Street,Danville,(859) 236-2955,https://www.bgcap.org/,Low-income individuals and families; income guidelines apply for most programs. Criminal history is generally not a barrier.,Kynector Julie Turpin: (502) 232-4456. Also serves Garrard County from Danville office. LIHEAP seasonal—apply early when program opens.,"Monday–Friday, 8:00 a.m.–4:00 p.m.",Boyle,Boyle|Garrard,multi,Kentucky
Bluegrass Community Action Partnership — Lincoln County,financial-assistance,"Bluegrass Community Action Partnership (BGCAP) Lincoln County office in Stanford provides LIHEAP utility assistance, weatherization, emergency financial aid, food referrals, and kynect benefits enrollment for low-income Lincoln County residents. Serves clients regardless of criminal history; walk-ins welcome—call ahead to confirm hours and seasonal program availability. The program supports Kentuckians navigating reentry in Lincoln County.",201 East Main Street,Stanford,(606) 365-2312,https://www.bgcap.org/,Low-income individuals and families; income guidelines apply for most programs. Criminal history is generally not a barrier.,Office hours 7:30 a.m.–4:00 p.m. per BGCAP listing. Kynector Michelle Ballew: (502) 682-0944. Part of nine-county BGCAP service area.,"Monday–Friday, 7:30 a.m.–4:00 p.m.",Lincoln,Lincoln,single,Kentucky
DCBS — Bath County Family Support,financial-assistance,"DCBS — Bath County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Bath County. DCBS Family Support office in Owingsville helps Bath County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",124 Adams Lane,Owingsville,(606) 674-6315,https://kynect.ky.gov/benefits/s/,"Bath County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Bath,Bath,single,Kentucky
DCBS — Montgomery County Family Support,financial-assistance,"DCBS — Montgomery County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Montgomery County. DCBS Family Support office in Mount Sterling administers Medicaid, SNAP, KTAP, and child care subsidies for Montgomery County residents including justice-involved individuals reconnecting to public benefits after release from Montgomery County Detention Center or state custody. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",460 Whittaker Drive,Mount Sterling,(859) 498-8750,https://kynect.ky.gov/benefits/s/,"Montgomery County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Montgomery,Montgomery,single,Kentucky
DCBS — Rowan County Family Support,financial-assistance,"DCBS — Rowan County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Rowan County. DCBS Family Support office in Morehead helps Rowan County and northeast Kentucky residents apply for Medicaid, SNAP, KTAP, and child care through kynect. Returning citizens can establish food and health coverage after release with in-person assistance at this county DCBS location. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",609 Flemingsburg Road,Morehead,(606) 783-8501,https://kynect.ky.gov/benefits/s/,"Rowan County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Rowan,Rowan,single,Kentucky
DCBS — Robertson County Family Support,financial-assistance,"DCBS — Robertson County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Robertson County. DCBS Family Support office in Mount Olivet is the county benefits intake point for Robertson County residents applying for Medicaid, SNAP, KTAP, and child care assistance. Justice-involved residents can apply online at kynect.ky.gov or visit this office for help with verification after release from local jail or state facilities. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",26 Court Street,Mount Olivet,(606) 724-5121,https://kynect.ky.gov/benefits/s/,"Robertson County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Robertson,Robertson,single,Kentucky
DCBS — Adair County Family Support,financial-assistance,"DCBS — Adair County Family Support serves justice-involved adults and families rebuilding stability after incarceration in Adair County. DCBS Family Support office in Columbia helps Adair County residents apply for Medicaid, SNAP, KTAP, and child care assistance through kynect. Returning citizens and families rebuilding after incarceration can establish health coverage and food benefits at this county office or online with local staff assisting document verification. Coalition and navigator programs connect returning citizens to local partners—they rarely provide emergency shelter, cash aid, or 24/7 crisis response on their own. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.",703 Jamestown St.,Columbia,(855) 306-8959,https://kynect.ky.gov/benefits/s/,"Adair County residents meeting income and household-size requirements for Medicaid, SNAP, KTAP, and child care assistance; criminal record generally not a barrier.","Apply online at kynect.ky.gov or visit this county DCBS office; bring ID, Social Security card, and release documents if applicable.","Monday–Friday, 8:00 a.m.–4:30 p.m.",Adair,Adair,single,Kentucky
